1017 Statistic "clientsCount":  279
┌─────────┬─────────┬───────────┬──────────┬──────────┐
│ (index) │   rss   │ heapTotal │ heapUsed │ external │
│   412   │ 82.604  │  43.327   │  23.517  │  1.372   │
│   413   │ 83.182  │  43.327   │  31.441  │  1.376   │
│   414   │ 85.127  │  60.363   │  25.242  │   1.36   │
│   415   │ 87.839  │  60.363   │  33.492  │  1.364   │
│   416   │ 94.564  │  60.363   │  31.671  │  1.372   │
│   417   │ 101.114 │  61.673   │  33.495  │  1.376   │
│   418   │ 101.536 │  61.673   │  42.489  │   1.38   │
│   419   │ 105.05  │  69.538   │  30.505  │  1.364   │
│   420   │ 67.584  │   29.43   │  25.468  │  1.364   │
│   421   │ 73.404  │  35.721   │  28.112  │  1.368   │
│   422   │ 77.242  │  46.731   │  25.602  │   1.36   │
│   423   │ 82.751  │  47.256   │  28.515  │  1.364   │
│   424   │  87.31  │  47.518   │  31.786  │  1.368   │
│   425   │ 87.671  │   66.13   │  23.086  │  1.364   │
│   426   │ 87.671  │   66.13   │  29.168  │  1.364   │
│   427   │ 92.783  │   66.13   │  35.348  │  1.368   │
│   428   │ 97.272  │   66.13   │  29.889  │  1.368   │
│   429   │ 102.584 │   66.13   │  35.86   │  1.372   │
│   430   │ 106.107 │   66.13   │  32.92   │  1.372   │
│   431   │ 106.226 │   66.13   │  38.101  │  1.376   │
│   432   │ 106.271 │   66.13   │  42.674  │  1.376   │
│   433   │ 106.521 │  69.538   │  16.213  │   1.36   │
│   434   │ 56.898  │  16.847   │  13.568  │   1.36   │
│   435   │ 55.828  │   16.06   │  13.735  │   1.36   │
│   436   │  57.27  │  17.371   │  14.792  │   1.36   │
